SKU,Category,Size,Units_in_stock,Days_of_inventory_left,Dead_stock_flag,date
SKU-SHI-0001,Shirts,S,36,90,N,1/2/2022
SKU-PAN-0002,Pants,XL,37,123.3,N,1/2/2022
SKU-SHI-0003,Shirts,XXL,61,261.4,N,1/2/2022
SKU-TSH-0004,Tshirts,XXL,118,999,N,1/2/2022
SKU-CRO-0005,Croptops,S,53,530,N,1/2/2022
SKU-SHI-0006,Shirts,XL,92,920,N,1/2/2022
SKU-CRO-0007,Croptops,XS,100,999,N,1/2/2022
SKU-PAN-0008,Pants,XL,132,999,N,1/2/2022
SKU-PAN-0009,Pants,XS,95,999,N,1/2/2022
SKU-TSH-0010,Tshirts,L,84,999,N,1/2/2022
SKU-SHO-0011,Shorts,XXL,122,999,Y,1/2/2022
SKU-TSH-0012,Tshirts,L,58,999,Y,1/2/2022
SKU-SHI-0013,Shirts,XS,90,999,Y,1/2/2022
SKU-CRO-0014,Croptops,M,53,999,N,1/2/2022
SKU-SHI-0015,Shirts,XL,140,999,Y,1/2/2022
SKU-PAN-0016,Pants,XS,127,999,Y,1/2/2022
SKU-SHI-0017,Shirts,S,82,999,Y,1/2/2022
SKU-PAN-0018,Pants,XXL,121,999,Y,1/2/2022
SKU-CRO-0019,Croptops,XXL,60,999,N,1/2/2022
SKU-PAN-0020,Pants,XL,90,999,N,1/2/2022
SKU-PAN-0021,Pants,XL,85,999,Y,1/2/2022
SKU-PAN-0022,Pants,XXL,106,999,Y,1/2/2022
SKU-SHO-0023,Shorts,XL,128,999,Y,1/2/2022
SKU-SHI-0024,Shirts,XXL,63,999,Y,1/2/2022
SKU-JAC-0025,Jackets,XXL,94,999,N,1/2/2022
SKU-PAN-0026,Pants,XXL,87,999,Y,1/2/2022
SKU-JAC-0027,Jackets,S,49,999,Y,1/2/2022
SKU-PAN-0028,Pants,XS,107,999,Y,1/2/2022
SKU-TSH-0029,Tshirts,L,97,999,Y,1/2/2022
SKU-CRO-0030,Croptops,M,62,999,Y,1/2/2022
SKU-JAC-0031,Jackets,XL,49,999,Y,1/2/2022
SKU-TSH-0032,Tshirts,S,96,999,N,1/2/2022
SKU-SHO-0033,Shorts,M,120,999,Y,1/2/2022
SKU-PAN-0034,Pants,XS,65,999,N,1/2/2022
SKU-CRO-0035,Croptops,L,53,999,Y,1/2/2022
SKU-SHI-0036,Shirts,XL,129,999,N,1/2/2022
SKU-CRO-0037,Croptops,XL,116,999,Y,1/2/2022
SKU-CRO-0038,Croptops,M,47,999,Y,1/2/2022
SKU-SHO-0039,Shorts,XXL,114,999,N,1/2/2022
SKU-SHO-0040,Shorts,XS,127,999,Y,1/2/2022
SKU-TSH-0041,Tshirts,M,129,999,Y,1/2/2022
SKU-CRO-0042,Croptops,XXL,125,999,Y,1/2/2022
SKU-CRO-0043,Croptops,XS,61,999,Y,1/2/2022
SKU-JAC-0044,Jackets,XL,108,999,Y,1/2/2022
SKU-SHI-0045,Shirts,L,109,999,N,1/2/2022
SKU-JAC-0046,Jackets,M,130,999,Y,1/2/2022
SKU-PAN-0047,Pants,L,103,999,Y,1/2/2022
SKU-CRO-0048,Croptops,XXL,53,795,N,1/2/2022
SKU-TSH-0049,Tshirts,XS,126,999,Y,1/2/2022
SKU-SHO-0050,Shorts,S,123,999,Y,1/2/2022
SKU-SHI-0051,Shirts,L,74,999,Y,1/2/2022
