Order ID,Customer_ID,Order_date,Product,Order_value_gross,Order value_net,Discount_applied ,Payment_mode,Shipping_city,Pincode,First order_vs_repeat,Channel source_last_touch,Delivered_Returned_RTO
ORD-20220101-000001,CUST-0001627,1/1/2022,2-item cart,2339,1814,22.50%,Card,Lucknow,624797,First,Meta,Delivered
ORD-20220101-000002,CUST-0006543,1/1/2022,2-item cart,2588,1812,30.00%,UPI,Delhi,779192,First,Meta,Delivered
ORD-20220101-000003,CUST-0021661,1/1/2022,2-item cart,2546,2210,13.20%,UPI,Chandigarh,516352,First,Organic Instagram,Delivered
ORD-20220101-000004,CUST-0007414,1/1/2022,2-item cart,1800,1395,22.50%,COD,Indore,268472,First,Influencer,RTO
ORD-20220101-000005,CUST-0019325,1/1/2022,2-item cart,2155,1853,14.00%,UPI,Mumbai,515911,First,Meta,Delivered
ORD-20220101-000006,CUST-0002588,1/1/2022,Mixed Cart,1893,1664,12.10%,Card,Visakhapatnam,146416,First,Organic Instagram,Delivered
ORD-20220101-000007,CUST-0014715,1/1/2022,Mixed Cart,1883,1530,18.80%,UPI,Dehradun,332183,First,Meta,Delivered
ORD-20220101-000008,CUST-0019499,1/1/2022,2-item cart,2345,1872,20.20%,UPI,Kanpur,180268,First,Google,Delivered
ORD-20220101-000009,CUST-0025774,1/1/2022,Mixed Cart,1800,1350,25.00%,COD,Surat,549977,First,Meta,Delivered
ORD-20220101-000010,CUST-0017166,1/1/2022,Mixed Cart,2753,2300,16.50%,UPI,Bengaluru,671653,First,Organic Instagram,Returned
ORD-20220101-000011,CUST-0005643,1/1/2022,2-item cart,2689,1913,28.80%,UPI,Pune,748222,First,Meta,Delivered
ORD-20220101-000012,CUST-0008801,1/1/2022,Mixed Cart,2567,1889,26.40%,Wallet,Mumbai,427777,First,Organic Instagram,Delivered
ORD-20220101-000013,CUST-0024983,1/1/2022,2-item cart,1941,1583,18.50%,Card,Bhubaneswar,392508,First,Google,RTO
ORD-20220101-000014,CUST-0015875,1/1/2022,Mixed Cart,2450,1715,30.00%,COD,Mysuru,168937,First,Meta,Returned
ORD-20220101-000015,CUST-0018635,1/1/2022,2-item cart,2073,1531,26.20%,UPI,Delhi,320478,First,Meta,Delivered
ORD-20220101-000016,CUST-0015212,1/1/2022,2-item cart,1800,1350,25.00%,Card,Nagpur,239891,First,Meta,Delivered
ORD-20220101-000017,CUST-0011461,1/1/2022,2-item cart,2414,2114,12.40%,UPI,Bhubaneswar,381225,First,Influencer,Returned
ORD-20220101-000018,CUST-0007023,1/1/2022,Mixed Cart,2383,1791,24.80%,COD,Chandigarh,820615,First,Google,Delivered
ORD-20220101-000019,CUST-0017349,1/1/2022,Mixed Cart,2492,1876,24.70%,Card,Mumbai,374651,First,Email/SMS,Delivered
ORD-20220101-000020,CUST-0011427,1/1/2022,Single item,2304,1895,17.70%,Card,Delhi,426823,First,Influencer,Delivered
ORD-20220101-000021,CUST-0012263,1/1/2022,2-item cart,2054,1661,19.10%,Card,Surat,406409,First,Meta,RTO
ORD-20220101-000022,CUST-0021500,1/1/2022,Single item,1985,1717,13.50%,COD,Nashik,423306,First,Google,Returned
