SKU,Vendor,Order_quantity,Cost_per_unit,Order_date,Expected_delivery,Actual_delivery,Lead_time
SKU-SHI-0001,UrbanWeave Co.,93,705,1/9/2022,3/2/2022,3/7/2022,57
SKU-PAN-0002,Apex Fashions,87,982,1/16/2022,3/10/2022,3/10/2022,53
SKU-SHI-0003,KnitCraft Studio,93,1004,1/23/2022,3/1/2022,3/3/2022,39
SKU-SHI-0001,UrbanWeave Co.,351,705,2/6/2022,4/1/2022,4/6/2022,59
SKU-PAN-0002,Apex Fashions,136,982,2/13/2022,3/19/2022,3/22/2022,37
SKU-SHI-0003,KnitCraft Studio,109,1004,2/20/2022,4/13/2022,4/15/2022,54
SKU-SHI-0001,UrbanWeave Co.,262,705,3/6/2022,4/18/2022,4/21/2022,46
SKU-CRO-0005,StitchWorks India,48,846,3/6/2022,4/11/2022,4/14/2022,39
SKU-PAN-0002,Apex Fashions,98,982,3/13/2022,4/30/2022,5/3/2022,51
SKU-SHI-0003,KnitCraft Studio,106,1004,3/20/2022,5/7/2022,5/10/2022,51
SKU-TSH-0004,StitchWorks India,100,539,3/27/2022,5/10/2022,5/11/2022,45
SKU-SHI-0001,UrbanWeave Co.,314,705,4/3/2022,5/8/2022,5/13/2022,40
SKU-CRO-0005,StitchWorks India,50,846,4/3/2022,5/27/2022,5/30/2022,57
SKU-PAN-0002,Apex Fashions,167,982,4/10/2022,5/29/2022,5/29/2022,49
SKU-SHI-0003,KnitCraft Studio,144,1004,4/17/2022,6/8/2022,6/8/2022,52
SKU-TSH-0004,StitchWorks India,116,539,4/24/2022,6/11/2022,6/12/2022,49
SKU-SHI-0006,KnitCraft Studio,82,1097,4/24/2022,6/14/2022,6/16/2022,53
SKU-SHI-0001,UrbanWeave Co.,360,705,5/1/2022,6/19/2022,6/21/2022,51
SKU-CRO-0005,StitchWorks India,92,846,5/1/2022,6/15/2022,6/15/2022,45
SKU-PAN-0002,Apex Fashions,166,982,5/8/2022,6/20/2022,6/23/2022,46
SKU-TSH-0012,UrbanWeave Co.,68,715,5/8/2022,6/24/2022,6/26/2022,49
SKU-SHI-0003,KnitCraft Studio,81,1004,5/15/2022,6/12/2022,6/12/2022,28
SKU-TSH-0004,StitchWorks India,72,539,5/22/2022,7/10/2022,7/10/2022,49
SKU-SHI-0006,KnitCraft Studio,75,1097,5/22/2022,7/6/2022,7/11/2022,50
SKU-TSH-0010,WestCo Garments,80,782,5/22/2022,7/1/2022,7/4/2022,43
SKU-SHI-0001,UrbanWeave Co.,280,705,5/29/2022,7/11/2022,7/11/2022,43
SKU-CRO-0005,StitchWorks India,45,846,5/29/2022,7/12/2022,7/14/2022,46
SKU-CRO-0014,Apex Fashions,58,756,5/29/2022,7/20/2022,7/25/2022,57
SKU-PAN-0002,Apex Fashions,140,982,6/5/2022,7/14/2022,7/16/2022,41
SKU-CRO-0007,Apex Fashions,59,818,6/5/2022,7/16/2022,7/17/2022,42
SKU-TSH-0012,UrbanWeave Co.,40,715,6/5/2022,7/18/2022,7/19/2022,44
SKU-SHI-0003,KnitCraft Studio,141,1004,6/12/2022,7/30/2022,8/4/2022,53
SKU-TSH-0004,StitchWorks India,40,539,6/19/2022,7/28/2022,7/28/2022,39
SKU-SHI-0006,KnitCraft Studio,54,1097,6/19/2022,8/2/2022,8/5/2022,47
SKU-TSH-0010,WestCo Garments,54,782,6/19/2022,7/26/2022,7/28/2022,39
SKU-SHI-0001,UrbanWeave Co.,223,705,6/26/2022,7/27/2022,7/29/2022,33
